_element_key,_element_name,_element_type,_list_child_element_keys
BCG,BCG,string,[]
BCGCHECK,BCGCHECK,string,[]
FEBAMAREL,FEBAMAREL,string,[]
FEBAMARELCHECK,FEBAMARELCHECK,string,[]
PCV1,PCV1,string,[]
PCV1CHECK,PCV1CHECK,string,[]
PCV2,PCV2,string,[]
PCV2CHECK,PCV2CHECK,string,[]
PCV3,PCV3,string,[]
PCV3CHECK,PCV3CHECK,string,[]
PENTA1,PENTA1,string,[]
PENTA1CHECK,PENTA1CHECK,string,[]
PENTA2,PENTA2,string,[]
PENTA2CHECK,PENTA2CHECK,string,[]
PENTA3,PENTA3,string,[]
PENTA3CHECK,PENTA3CHECK,string,[]
POLIO1,POLIO1,string,[]
POLIO1CHECK,POLIO1CHECK,string,[]
POLIO2,POLIO2,string,[]
POLIO2CHECK,POLIO2CHECK,string,[]
POLIO3,POLIO3,string,[]
POLIO3CHECK,POLIO3CHECK,string,[]
POLIONAS,POLIONAS,string,[]
POLIONASCHECK,POLIONASCHECK,string,[]
REGID,REGID,string,[]
REGIDC,REGIDC,string,[]
ROX1,ROX1,string,[]
ROX1CHECK,ROX1CHECK,string,[]
ROX2,ROX2,string,[]
ROX2CHECK,ROX2CHECK,string,[]
SARAMPO1,SARAMPO1,string,[]
SARAMPO1CHECK,SARAMPO1CHECK,string,[]
VAC10CHECK,VAC10CHECK,string,[]
VAC10DATA,VAC10DATA,string,[]
VAC10INF,VAC10INF,string,[]
VAC10TIPO,VAC10TIPO,string,[]
VAC11CHECK,VAC11CHECK,string,[]
VAC11DATA,VAC11DATA,string,[]
VAC11INF,VAC11INF,string,[]
VAC11TIPO,VAC11TIPO,string,[]
VAC12CHECK,VAC12CHECK,string,[]
VAC12DATA,VAC12DATA,string,[]
VAC12INF,VAC12INF,string,[]
VAC12TIPO,VAC12TIPO,string,[]
VAC13CHECK,VAC13CHECK,string,[]
VAC13DATA,VAC13DATA,string,[]
VAC13INF,VAC13INF,string,[]
VAC13TIPO,VAC13TIPO,string,[]
VAC14CHECK,VAC14CHECK,string,[]
VAC14DATA,VAC14DATA,string,[]
VAC14INF,VAC14INF,string,[]
VAC14TIPO,VAC14TIPO,string,[]
VAC15CHECK,VAC15CHECK,string,[]
VAC15DATA,VAC15DATA,string,[]
VAC15INF,VAC15INF,string,[]
VAC15TIPO,VAC15TIPO,string,[]
VAC16CHECK,VAC16CHECK,string,[]
VAC16DATA,VAC16DATA,string,[]
VAC16INF,VAC16INF,string,[]
VAC16TIPO,VAC16TIPO,string,[]
VAC17CHECK,VAC17CHECK,string,[]
VAC17DATA,VAC17DATA,string,[]
VAC17INF,VAC17INF,string,[]
VAC17TIPO,VAC17TIPO,string,[]
VAC18CHECK,VAC18CHECK,string,[]
VAC18DATA,VAC18DATA,string,[]
VAC18INF,VAC18INF,string,[]
VAC18TIPO,VAC18TIPO,string,[]
VAC19CHECK,VAC19CHECK,string,[]
VAC19DATA,VAC19DATA,string,[]
VAC19INF,VAC19INF,string,[]
VAC19TIPO,VAC19TIPO,string,[]
VAC1CHECK,VAC1CHECK,string,[]
VAC1DATA,VAC1DATA,string,[]
VAC1INF,VAC1INF,string,[]
VAC1TIPO,VAC1TIPO,string,[]
VAC20CHECK,VAC20CHECK,string,[]
VAC20DATA,VAC20DATA,string,[]
VAC20INF,VAC20INF,string,[]
VAC20TIPO,VAC20TIPO,string,[]
VAC2CHECK,VAC2CHECK,string,[]
VAC2DATA,VAC2DATA,string,[]
VAC2INF,VAC2INF,string,[]
VAC2TIPO,VAC2TIPO,string,[]
VAC3CHECK,VAC3CHECK,string,[]
VAC3DATA,VAC3DATA,string,[]
VAC3INF,VAC3INF,string,[]
VAC3TIPO,VAC3TIPO,string,[]
VAC4CHECK,VAC4CHECK,string,[]
VAC4DATA,VAC4DATA,string,[]
VAC4INF,VAC4INF,string,[]
VAC4TIPO,VAC4TIPO,string,[]
VAC5CHECK,VAC5CHECK,string,[]
VAC5DATA,VAC5DATA,string,[]
VAC5INF,VAC5INF,string,[]
VAC5TIPO,VAC5TIPO,string,[]
VAC6CHECK,VAC6CHECK,string,[]
VAC6DATA,VAC6DATA,string,[]
VAC6INF,VAC6INF,string,[]
VAC6TIPO,VAC6TIPO,string,[]
VAC7CHECK,VAC7CHECK,string,[]
VAC7DATA,VAC7DATA,string,[]
VAC7INF,VAC7INF,string,[]
VAC7TIPO,VAC7TIPO,string,[]
VAC8CHECK,VAC8CHECK,string,[]
VAC8DATA,VAC8DATA,string,[]
VAC8INF,VAC8INF,string,[]
VAC8TIPO,VAC8TIPO,string,[]
VAC9CHECK,VAC9CHECK,string,[]
VAC9DATA,VAC9DATA,string,[]
VAC9INF,VAC9INF,string,[]
VAC9TIPO,VAC9TIPO,string,[]
VISITDATE,VISITDATE,string,[]
VISITID,VISITID,string,[]
VISITIDC,VISITIDC,string,[]
VPI,VPI,string,[]
VPICHECK,VPICHECK,string,[]
