_element_key,_element_name,_element_type,_list_child_element_keys
AB,AB,integer,[]
AMO,AMO,integer,[]
CASA,CASA,integer,[]
CESCO,CESCO,string,[]
CICA,CICA,async_assign_num_value,[]
CNASCCERTO,CNASCCERTO,string,[]
CONSENTFOR,CONSENTFOR,async_assign_num_value,[]
CONSENTSIG,CONSENTSIG,async_assign_num_value,[]
ESCO,ESCO,integer,[]
ESTADO,ESTADO,integer,[]
ESTADOVIS,ESTADOVIS,async_assign_num_value,[]
ETN,ETN,assign,[]
EXITDATA,EXITDATA,date,[]
EXITPRECIS,EXITPRECIS,integer,[]
FAL,FAL,integer,[]
FAN,FAN,string,[]
FOGAO,FOGAO,integer,[]
GEM,GEM,string,[]
GEMEOS,GEMEOS,string,[]
ID,ID,integer,[]
IDADE,IDADE,integer,[]
IDFAN,IDFAN,integer,[]
INF,INF,assign,[]
LASTVISIT,LASTVISIT,async_assign_date,[]
MIFDNASC,MIFDNASC,date,[]
MIFMAE,MIFMAE,string,[]
MIFMONDE,MIFMONDE,string,[]
MIFMORAVA,MIFMORAVA,string,[]
MOR,MOR,integer,[]
MUL,MUL,integer,[]
NM,NM,integer,[]
NOMEMAE,NOMEMAE,string,[]
PART,PART,integer,[]
REG,REG,string,[]
REGDIA,REGDIA,date,[]
RELA1,RELA1,string,[]
RELA1NOME,RELA1NOME,string,[]
RELA2,RELA2,string,[]
RELA2NOME,RELA2NOME,string,[]
TAB,TAB,integer,[]
VACNOH,VACNOH,integer,[]
VIVO,VIVO,integer,[]
